Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
ADELEC INTERNATIONAL,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,,"ZONE INDUSTRIELLE CHOTRANA, La Soukra, Ariana, None Tunisie",
HUMAN CAPITAL VALUE,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"67 rue Alain Savary, Centre ville, Tunis, None Tunisie",
EVIIVO,informatique / télécoms,Entre 100 et 200 employés,Société privée étrangère,2003,"Les Jardins du Lac 2, El Kram, Tunis, 1053 Tunisie",https://eviivo.com/
SLIM FIT,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"Immeuble l’Altrium rue rohds  les jardins du lac II, La Marsa, Tunis, 1053 Tunisie",
OC-AGENCE,communication / publicité / média,Moins de 20 employés,Société privée locale,,"Imm el Majd 1er Et.Rue du lac de constance berges du lac 1, La Marsa, Tunis, None Tunisie",
ELSIL TECHNOLOGIES,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée étrangère,,"megrine saint gobain, Megrine, Ben Arous, None Tunisie",
YESSS TN - BEST,comptabilité / gestion / audit,Entre 100 et 200 employés,Société privée étrangère,2005,"AV du Japon Montplaisir TUNIS, Centre ville, Tunis, 1073 Tunisie",
CABINET MAG,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"Centre Urbain Nord Tunis , Cite El Khadra, Tunis, 1073 Tunisie",
INDIGO PROPERTIES,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"18 rue de rabat, Carthage, Tunis, 2045 Tunisie",
SOCIÉTÉ INDUSTRIELLE DE MÉCANIQUE,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée étrangère,,"Rue de l’électricité Z.Indus ben Arous 2013, Ben Arous, Ben Arous, None Tunisie",
SOCIÉTÉ DE DÉVELOPPEMENT ET D EXPLOITATION DU PARC D ACTIVITÉS ECONOMIQUES DE ZARZIS,autres,Entre 20 et 100 employés,Société privée locale,,"BP 40 Port de Zarzis 4137, Zarzis, Médenine, 4137 Tunisie",
PGS INTERNATIONAL,industrie électro-mécaniques,Entre 20 et 100 employés,Société privée locale,,"6, Rue El Farabi, Megrine, Ben Arous, 2014 Tunisie",
MOHAMED BEN OTHMANE,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"RUE HASSAN NOURI BIZERTE, Bizerte Nord, Bizerte, None Tunisie",
